rule_id,execution_provenance,owner,scope
CORE-000047,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000095,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000138,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000139,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000201,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000272,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000324,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000361,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000460,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000466,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000505,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000572,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000583,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000595,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000651,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000653,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000654,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000677,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000711,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000714,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000744,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000783,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000866,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000929,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000944,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000948,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000950,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000954,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000955,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000956,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000961,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000962,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000963,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000964,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000965,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000966,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000967,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000968,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000969,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000970,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000971,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000973,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000974,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000980,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000981,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000982,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000983,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000984,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000985,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000986,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000994,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000995,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000996,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000997,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000998,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-000999,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001000,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001001,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001002,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001003,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001004,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001005,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001006,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001007,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001008,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001009,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001010,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001011,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001012,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001013,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001014,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001015,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001016,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001017,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001018,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001019,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001020,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001021,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001022,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001023,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001024,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001025,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001026,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001027,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001028,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001029,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001030,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001031,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001032,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001033,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001036,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001037,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001038,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001039,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001040,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001041,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001042,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001045,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001046,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001047,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001048,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001049,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001050,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001051,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001052,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001053,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001054,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001055,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001062,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001065,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001066,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001067,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001070,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001071,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001072,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001073,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001074,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001075,rule_id_hand_port,core-api,open-rules-oracle-harness
CORE-001077,rule_id_hand_port,core-api,open-rules-oracle-harness
